Timestamp;Brand;Age;Buying_Price;Camera;Battery;Screen_Size;Condition;Proposed_Sell_Price;Broken_Screen;Internal Storage Size in Gigabytes (GB)
12/3/2015 17:29:30;Sony ;3;4999;13;24;5;9;4199;No;8
11/3/2015 15:36:21;Apple;3;5000;8;6;3,5;8;4000;No;16
11/3/2015 16:09:35;Sony;3;5000;10;11;4,5;2;3500;No;8
2/9/2016 8:32:25;Samsung;12;5000;8;16;4,5;9;2000;No;16
2/9/2016 13:45:06;Samsung;18;5000;16;24;5,1;8;4000;No;32
12/1/2015 13:50:53;Huawei;19;5000;8;12;4,7;8;3000;Yes;8
9/30/2015 9:56:52;Samsung;1;5500;16;30;5,7;10;5200;No;
2/11/2016 12:33:38;Samsung;36;5500;8;4;4;8;2500;Yes;8
2/9/2016 8:51:06;Apple;6;6000;8;4;4;9;3000;No;16
12/4/2015 9:23:28;Apple;10;6000;8;2;4;8;4000;No;16
12/4/2015 9:10:16;Apple;12;6000;8;6;4;8;3000;No;32
12/4/2015 8:26:53;Sony ;12;6000;12;24;4,5;5;2000;No;8
12/11/2015 9:16:22;Samsung;18;6000;13;6;4,7;8;4000;No;32
2/9/2016 17:15:13;Sony ;18;6000;5;12;3,5;6;2000;No;4
2/18/2016 10:13:51;Sony ;20;6000;20;25;4;8;5000;No;16
11/3/2015 20:22:58;Apple;22;6000;8;7;4;4;600;Yes;8
12/11/2015 13:29:55;Samsung;28;6000;13;5;4,5;3;2500;No;25
10/28/2015 15:18:43;Samsung;42;6000;5;2;4,8;5;1000;Yes;
2/11/2016 7:38:16;Samsung;36;7000;5;5;4;8;5000;Yes;2
10/14/2015 12:30:33;Samsung;4;7000;8;13;8,4;10;6099;No;
9/30/2015 22:22:44;Huawei;7;7000;13;12;4;9;6000;No;
2/9/2016 8:10:35;Apple;34;7000;4;18;5;4;3500;No;8
12/4/2015 8:30:33;Sony;5;8000;20;48;5;8;7000;No;16
10/28/2015 16:17:39;Samsung;6;8000;15;20;4;6;7000;No;16
2/9/2016 8:55:42;HTC;15;8000;4;8;4,4;9;4500;No;10
2/10/2016 22:19:26;LG;22;8000;13;18;5;7;4000;No;16
2/9/2016 14:19:02;Samsung;24;8000;8;12;4,3;6;1500;Yes;8
2/9/2016 17:20:34;LG;28;8600;16;8;5;8;5000;No;32
11/3/2015 15:43:46;Samsung;10;9600;8;4;4,5;6;5500;No;16
9/15/2015 16:19:53;Samsung;14;9800;13;6;6;8;4500;No;
2/9/2016 8:48:37;Apple;6;10000;13;24;4;10;8000;No;32
4/2/2016 10:19:15;Huawei;6;10000;10;10;4;7;7000;Yes;16
2/9/2016 13:20:49;Samsung;12;10000;13;7;3,7;9;7000;No;32
11/4/2015 11:46:53;Samsung;23;10000;13;10;4;10;7000;No;32
12/11/2015 10:45:33;Samsung;36;10000;13;12;5;10;7999;No;32
2/9/2016 10:10:07;Samsung;12;12000;13;9;5,7;10;6000;No;32
11/6/2015 19:43:46;Samsung;28;12000;8;72;4,5;10;9000;No;32
2/9/2016 13:36:13;Samsung;24;13500;5;24;4,5;9;5500;No;16
11/6/2015 15:00:51;Apple;1;14000;10;24;4,5;10;10;No;32
11/3/2015 16:01:27;Apple;16;14000;12;16;4,7;10;9000;No;16
1/6/2016 10:35:57;Apple;13;15576;8;10;4,7;9;10000;No;64
